,5ggv,6rp8,6rp8,5tru,5xj3,5xj3,5xj3,5xj3,5tru,9dq3,9dq4,7su0,7su0,7su1,8tui,7cgw,7wsl,5ggs,5ggs,5jxe,5b8c,5b8c,5jxe,5b8c,5b8c,5ggr,8gy5,7wvm,7cgw,7cu5,7cu5,7bxa,7bxa,6xkr,7wvm,5ggr,5wt9,6k0y,8gy5,5x8m,5xj4,5xxy,5x8l,5x8l,5x8l,5x8l,5grj,5x8l,6txz,6txz,6txz,6txz
5ggv,100.0,35.714285714285715,32.142857142857146,35.714285714285715,39.285714285714285,39.285714285714285,32.142857142857146,42.857142857142854,39.285714285714285,39.285714285714285,39.285714285714285,32.142857142857146,32.142857142857146,25.0,32.142857142857146,46.42857142857143,39.39393939393939,35.294117647058826,37.142857142857146,39.285714285714285,35.294117647058826,35.13513513513514,44.827586206896555,39.39393939393939,37.142857142857146,28.57142857142857,32.142857142857146,32.142857142857146,46.42857142857143,25.0,25.0,39.285714285714285,35.714285714285715,37.5,32.142857142857146,28.57142857142857,35.714285714285715,39.285714285714285,32.142857142857146,32.142857142857146,35.714285714285715,39.285714285714285,32.142857142857146,32.142857142857146,32.142857142857146,32.142857142857146,35.714285714285715,35.714285714285715,39.285714285714285,39.285714285714285,39.285714285714285,34.48275862068966
6rp8,35.714285714285715,100.0,95.0,90.9090909090909,90.47619047619048,81.81818181818183,85.0,86.95652173913044,90.47619047619048,52.0,48.148148148148145,76.19047619047619,66.66666666666666,60.0,50.0,40.74074074074074,39.39393939393939,32.35294117647059,31.428571428571427,34.61538461538461,29.411764705882355,29.72972972972973,31.03448275862069,30.303030303030305,28.57142857142857,40.0,42.857142857142854,41.66666666666667,40.74074074074074,30.0,30.0,40.0,35.0,37.5,39.130434782608695,38.095238095238095,32.142857142857146,33.33333333333333,37.5,45.45454545454545,45.45454545454545,35.714285714285715,37.5,37.5,37.5,39.130434782608695,42.30769230769231,32.0,35.714285714285715,35.714285714285715,35.714285714285715,31.03448275862069
6rp8,32.142857142857146,95.0,100.0,90.9090909090909,85.71428571428571,81.81818181818183,85.0,82.6086956521739,85.71428571428571,52.0,48.148148148148145,76.19047619047619,70.83333333333334,60.0,45.45454545454545,40.74074074074074,36.36363636363637,32.35294117647059,28.57142857142857,34.61538461538461,29.411764705882355,27.027027027027028,31.03448275862069,30.303030303030305,28.57142857142857,45.0,42.857142857142854,41.66666666666667,40.74074074074074,30.0,30.0,40.0,35.0,37.5,39.130434782608695,38.095238095238095,32.142857142857146,33.33333333333333,37.5,45.45454545454545,45.45454545454545,35.714285714285715,41.66666666666667,41.66666666666667,37.5,39.130434782608695,38.46153846153847,36.0,32.142857142857146,32.142857142857146,32.142857142857146,31.03448275862069
5tru,35.714285714285715,90.9090909090909,90.9090909090909,100.0,86.36363636363636,86.36363636363636,77.27272727272727,86.95652173913044,90.9090909090909,56.00000000000001,51.85185185185185,77.27272727272727,75.0,59.09090909090909,50.0,40.74074074074074,42.42424242424242,32.35294117647059,31.428571428571427,34.61538461538461,32.35294117647059,29.72972972972973,31.03448275862069,30.303030303030305,28.57142857142857,40.909090909090914,45.45454545454545,45.83333333333333,40.74074074074074,31.818181818181817,31.818181818181817,36.36363636363637,31.818181818181817,37.5,43.47826086956522,36.36363636363637,32.142857142857146,33.33333333333333,41.66666666666667,45.45454545454545,45.45454545454545,35.714285714285715,41.66666666666667,41.66666666666667,37.5,39.130434782608695,42.30769230769231,36.0,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
5xj3,39.285714285714285,90.47619047619048,85.71428571428571,86.36363636363636,100.0,90.9090909090909,85.71428571428571,91.30434782608695,85.71428571428571,56.00000000000001,51.85185185185185,76.19047619047619,70.83333333333334,57.14285714285714,50.0,40.74074074074074,42.42424242424242,32.35294117647059,28.57142857142857,34.61538461538461,29.411764705882355,32.432432432432435,31.03448275862069,30.303030303030305,28.57142857142857,38.095238095238095,42.857142857142854,45.83333333333333,40.74074074074074,28.57142857142857,28.57142857142857,38.095238095238095,33.33333333333333,37.5,43.47826086956522,38.095238095238095,32.142857142857146,37.03703703703704,37.5,45.45454545454545,45.45454545454545,39.285714285714285,37.5,37.5,37.5,39.130434782608695,42.30769230769231,32.0,35.714285714285715,35.714285714285715,35.714285714285715,31.03448275862069
5xj3,39.285714285714285,81.81818181818183,81.81818181818183,86.36363636363636,90.9090909090909,100.0,81.81818181818183,91.30434782608695,86.36363636363636,60.0,55.55555555555556,77.27272727272727,75.0,59.09090909090909,50.0,40.74074074074074,42.42424242424242,32.35294117647059,31.428571428571427,38.46153846153847,29.411764705882355,29.72972972972973,34.48275862068966,33.33333333333333,31.428571428571427,36.36363636363637,45.45454545454545,45.83333333333333,40.74074074074074,31.818181818181817,31.818181818181817,31.818181818181817,31.818181818181817,37.5,43.47826086956522,31.818181818181817,28.57142857142857,37.03703703703704,41.66666666666667,50.0,50.0,39.285714285714285,41.66666666666667,41.66666666666667,37.5,39.130434782608695,38.46153846153847,32.0,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
5xj3,32.142857142857146,85.0,85.0,77.27272727272727,85.71428571428571,81.81818181818183,100.0,82.6086956521739,76.19047619047619,48.0,44.44444444444444,71.42857142857143,66.66666666666666,63.1578947368421,40.909090909090914,37.03703703703704,33.33333333333333,32.35294117647059,28.57142857142857,34.61538461538461,26.47058823529412,27.027027027027028,31.03448275862069,27.27272727272727,25.71428571428571,42.10526315789473,42.857142857142854,45.83333333333333,40.74074074074074,31.57894736842105,31.57894736842105,40.0,35.0,34.375,43.47826086956522,33.33333333333333,28.57142857142857,33.33333333333333,37.5,40.909090909090914,40.909090909090914,28.57142857142857,33.33333333333333,33.33333333333333,37.5,34.78260869565217,34.61538461538461,28.000000000000004,32.142857142857146,32.142857142857146,32.142857142857146,31.03448275862069
5xj3,42.857142857142854,86.95652173913044,82.6086956521739,86.95652173913044,91.30434782608695,91.30434782608695,82.6086956521739,100.0,86.95652173913044,56.00000000000001,51.85185185185185,69.56521739130434,70.83333333333334,52.17391304347826,47.82608695652174,40.74074074074074,45.45454545454545,32.35294117647059,31.428571428571427,34.61538461538461,29.411764705882355,32.432432432432435,31.03448275862069,33.33333333333333,31.428571428571427,34.78260869565217,39.130434782608695,45.83333333333333,40.74074074074074,26.08695652173913,26.08695652173913,34.78260869565217,34.78260869565217,37.5,43.47826086956522,34.78260869565217,32.142857142857146,37.03703703703704,37.5,47.82608695652174,47.82608695652174,39.285714285714285,37.5,37.5,37.5,39.130434782608695,42.30769230769231,32.0,35.714285714285715,35.714285714285715,35.714285714285715,31.03448275862069
5tru,39.285714285714285,90.47619047619048,85.71428571428571,90.9090909090909,85.71428571428571,86.36363636363636,76.19047619047619,86.95652173913044,100.0,56.00000000000001,51.85185185185185,76.19047619047619,66.66666666666666,61.904761904761905,50.0,40.74074074074074,42.42424242424242,32.35294117647059,31.428571428571427,30.76923076923077,26.47058823529412,27.027027027027028,27.586206896551722,30.303030303030305,28.57142857142857,33.33333333333333,42.857142857142854,41.66666666666667,40.74074074074074,33.33333333333333,33.33333333333333,38.095238095238095,33.33333333333333,37.5,43.47826086956522,33.33333333333333,32.142857142857146,33.33333333333333,37.5,50.0,50.0,39.285714285714285,41.66666666666667,41.66666666666667,37.5,39.130434782608695,42.30769230769231,32.0,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
9dq3,39.285714285714285,52.0,52.0,56.00000000000001,56.00000000000001,60.0,48.0,56.00000000000001,56.00000000000001,100.0,88.88888888888889,52.0,60.0,48.0,36.0,33.33333333333333,42.42424242424242,26.47058823529412,28.57142857142857,30.76923076923077,26.47058823529412,24.324324324324326,27.586206896551722,27.27272727272727,25.71428571428571,28.000000000000004,28.000000000000004,32.0,37.03703703703704,28.000000000000004,28.000000000000004,32.0,32.0,37.5,32.0,24.0,25.0,33.33333333333333,28.000000000000004,48.0,48.0,35.714285714285715,36.0,36.0,40.0,40.0,34.61538461538461,44.0,32.142857142857146,32.142857142857146,32.142857142857146,37.93103448275862
9dq4,39.285714285714285,48.148148148148145,48.148148148148145,51.85185185185185,51.85185185185185,55.55555555555556,44.44444444444444,51.85185185185185,51.85185185185185,88.88888888888889,100.0,48.148148148148145,55.55555555555556,44.44444444444444,33.33333333333333,37.03703703703704,42.42424242424242,23.52941176470588,25.71428571428571,29.629629629629626,26.47058823529412,24.324324324324326,27.586206896551722,27.27272727272727,25.71428571428571,25.925925925925924,25.925925925925924,33.33333333333333,40.74074074074074,25.925925925925924,25.925925925925924,29.629629629629626,25.925925925925924,40.625,33.33333333333333,22.22222222222222,25.0,29.629629629629626,25.925925925925924,44.44444444444444,48.148148148148145,39.285714285714285,33.33333333333333,33.33333333333333,37.03703703703704,37.03703703703704,33.33333333333333,37.03703703703704,32.142857142857146,32.142857142857146,32.142857142857146,37.93103448275862
7su0,32.142857142857146,76.19047619047619,76.19047619047619,77.27272727272727,76.19047619047619,77.27272727272727,71.42857142857143,69.56521739130434,76.19047619047619,52.0,48.148148148148145,100.0,83.33333333333334,76.19047619047619,40.909090909090914,37.03703703703704,36.36363636363637,29.411764705882355,25.71428571428571,34.61538461538461,29.411764705882355,27.027027027027028,31.03448275862069,27.27272727272727,28.57142857142857,38.095238095238095,47.61904761904761,41.66666666666667,37.03703703703704,33.33333333333333,33.33333333333333,28.57142857142857,28.57142857142857,34.375,39.130434782608695,33.33333333333333,28.57142857142857,29.629629629629626,41.66666666666667,45.45454545454545,45.45454545454545,28.57142857142857,29.166666666666668,29.166666666666668,29.166666666666668,30.434782608695656,38.46153846153847,28.000000000000004,28.57142857142857,28.57142857142857,28.57142857142857,31.03448275862069
7su0,32.142857142857146,66.66666666666666,70.83333333333334,75.0,70.83333333333334,75.0,66.66666666666666,70.83333333333334,66.66666666666666,60.0,55.55555555555556,83.33333333333334,100.0,66.66666666666666,37.5,37.03703703703704,39.39393939393939,29.411764705882355,28.57142857142857,38.46153846153847,29.411764705882355,27.027027027027028,34.48275862068966,30.303030303030305,28.57142857142857,37.5,41.66666666666667,45.83333333333333,37.03703703703704,29.166666666666668,29.166666666666668,29.166666666666668,25.0,34.375,41.66666666666667,33.33333333333333,32.142857142857146,33.33333333333333,41.66666666666667,41.66666666666667,41.66666666666667,35.714285714285715,37.5,37.5,33.33333333333333,33.33333333333333,38.46153846153847,36.0,28.57142857142857,28.57142857142857,28.57142857142857,31.03448275862069
7su1,25.0,60.0,60.0,59.09090909090909,57.14285714285714,59.09090909090909,63.1578947368421,52.17391304347826,61.904761904761905,48.0,44.44444444444444,76.19047619047619,66.66666666666666,100.0,31.818181818181817,29.629629629629626,27.27272727272727,20.588235294117645,22.857142857142858,23.076923076923077,20.588235294117645,18.91891891891892,20.689655172413794,18.181818181818183,20.0,31.57894736842105,33.33333333333333,29.166666666666668,29.629629629629626,26.31578947368421,26.31578947368421,30.0,30.0,28.125,30.434782608695656,23.809523809523807,25.0,29.629629629629626,33.33333333333333,45.45454545454545,45.45454545454545,21.428571428571427,25.0,25.0,20.833333333333336,21.73913043478261,30.76923076923077,32.0,21.428571428571427,21.428571428571427,21.428571428571427,27.586206896551722
8tui,32.142857142857146,50.0,45.45454545454545,50.0,50.0,50.0,40.909090909090914,47.82608695652174,50.0,36.0,33.33333333333333,40.909090909090914,37.5,31.818181818181817,100.0,40.74074074074074,36.36363636363637,29.411764705882355,31.428571428571427,34.61538461538461,26.47058823529412,24.324324324324326,34.48275862068966,33.33333333333333,31.428571428571427,36.36363636363637,40.909090909090914,45.83333333333333,40.74074074074074,22.727272727272727,22.727272727272727,31.818181818181817,31.818181818181817,28.125,43.47826086956522,40.909090909090914,32.142857142857146,33.33333333333333,37.5,40.909090909090914,36.36363636363637,32.142857142857146,29.166666666666668,29.166666666666668,29.166666666666668,30.434782608695656,50.0,32.0,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
7cgw,46.42857142857143,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,37.03703703703704,40.74074074074074,40.74074074074074,33.33333333333333,37.03703703703704,37.03703703703704,37.03703703703704,29.629629629629626,40.74074074074074,100.0,39.39393939393939,44.11764705882353,42.857142857142854,37.03703703703704,32.35294117647059,29.72972972972973,37.93103448275862,33.33333333333333,31.428571428571427,37.03703703703704,33.33333333333333,40.74074074074074,96.29629629629629,25.925925925925924,25.925925925925924,74.07407407407408,74.07407407407408,43.75,40.74074074074074,33.33333333333333,39.285714285714285,40.74074074074074,33.33333333333333,29.629629629629626,29.629629629629626,32.142857142857146,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,29.629629629629626,32.142857142857146,32.142857142857146,32.142857142857146,31.03448275862069
7wsl,39.39393939393939,39.39393939393939,36.36363636363637,42.42424242424242,42.42424242424242,42.42424242424242,33.33333333333333,45.45454545454545,42.42424242424242,42.42424242424242,42.42424242424242,36.36363636363637,39.39393939393939,27.27272727272727,36.36363636363637,39.39393939393939,100.0,32.35294117647059,34.285714285714285,27.27272727272727,29.411764705882355,29.72972972972973,33.33333333333333,33.33333333333333,34.285714285714285,24.242424242424242,30.303030303030305,36.36363636363637,42.42424242424242,27.27272727272727,27.27272727272727,33.33333333333333,33.33333333333333,36.36363636363637,36.36363636363637,24.242424242424242,36.36363636363637,36.36363636363637,33.33333333333333,30.303030303030305,30.303030303030305,39.39393939393939,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,42.42424242424242,30.303030303030305,39.39393939393939,39.39393939393939,39.39393939393939,36.36363636363637
5ggs,35.294117647058826,32.35294117647059,32.35294117647059,32.35294117647059,32.35294117647059,32.35294117647059,32.35294117647059,32.35294117647059,32.35294117647059,26.47058823529412,23.52941176470588,29.411764705882355,29.411764705882355,20.588235294117645,29.411764705882355,44.11764705882353,32.35294117647059,100.0,94.28571428571428,47.05882352941176,52.94117647058824,48.64864864864865,50.0,50.0,48.57142857142857,35.294117647058826,26.47058823529412,32.35294117647059,44.11764705882353,20.588235294117645,20.588235294117645,35.294117647058826,35.294117647058826,32.35294117647059,29.411764705882355,35.294117647058826,41.17647058823529,32.35294117647059,26.47058823529412,26.47058823529412,23.52941176470588,35.294117647058826,29.411764705882355,29.411764705882355,26.47058823529412,26.47058823529412,38.23529411764706,23.52941176470588,29.411764705882355,29.411764705882355,29.411764705882355,26.47058823529412
5ggs,37.142857142857146,31.428571428571427,28.57142857142857,31.428571428571427,28.57142857142857,31.428571428571427,28.57142857142857,31.428571428571427,31.428571428571427,28.57142857142857,25.71428571428571,25.71428571428571,28.57142857142857,22.857142857142858,31.428571428571427,42.857142857142854,34.285714285714285,94.28571428571428,100.0,45.714285714285715,51.42857142857142,51.35135135135135,48.57142857142857,48.57142857142857,48.57142857142857,34.285714285714285,25.71428571428571,28.57142857142857,42.857142857142854,22.857142857142858,22.857142857142858,34.285714285714285,34.285714285714285,34.285714285714285,25.71428571428571,34.285714285714285,40.0,34.285714285714285,25.71428571428571,28.57142857142857,25.71428571428571,37.142857142857146,31.428571428571427,31.428571428571427,28.57142857142857,28.57142857142857,34.285714285714285,25.71428571428571,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
5jxe,39.285714285714285,34.61538461538461,34.61538461538461,34.61538461538461,34.61538461538461,38.46153846153847,34.61538461538461,34.61538461538461,30.76923076923077,30.76923076923077,29.629629629629626,34.61538461538461,38.46153846153847,23.076923076923077,34.61538461538461,37.03703703703704,27.27272727272727,47.05882352941176,45.714285714285715,100.0,73.52941176470588,67.56756756756756,86.20689655172413,75.75757575757575,74.28571428571429,30.76923076923077,46.15384615384615,42.30769230769231,40.74074074074074,26.923076923076923,26.923076923076923,34.61538461538461,34.61538461538461,40.625,38.46153846153847,34.61538461538461,32.142857142857146,44.44444444444444,46.15384615384615,26.923076923076923,23.076923076923077,32.142857142857146,34.61538461538461,34.61538461538461,30.76923076923077,30.76923076923077,38.46153846153847,38.46153846153847,32.142857142857146,32.142857142857146,32.142857142857146,31.03448275862069
5b8c,35.294117647058826,29.411764705882355,29.411764705882355,32.35294117647059,29.411764705882355,29.411764705882355,26.47058823529412,29.411764705882355,26.47058823529412,26.47058823529412,26.47058823529412,29.411764705882355,29.411764705882355,20.588235294117645,26.47058823529412,32.35294117647059,29.411764705882355,52.94117647058824,51.42857142857142,73.52941176470588,100.0,89.1891891891892,79.41176470588235,85.29411764705883,85.71428571428571,29.411764705882355,35.294117647058826,32.35294117647059,35.294117647058826,20.588235294117645,20.588235294117645,26.47058823529412,26.47058823529412,38.23529411764706,29.411764705882355,26.47058823529412,29.411764705882355,38.23529411764706,35.294117647058826,23.52941176470588,20.588235294117645,26.47058823529412,26.47058823529412,26.47058823529412,23.52941176470588,23.52941176470588,32.35294117647059,32.35294117647059,29.411764705882355,29.411764705882355,29.411764705882355,29.411764705882355
5b8c,35.13513513513514,29.72972972972973,27.027027027027028,29.72972972972973,32.432432432432435,29.72972972972973,27.027027027027028,32.432432432432435,27.027027027027028,24.324324324324326,24.324324324324326,27.027027027027028,27.027027027027028,18.91891891891892,24.324324324324326,29.72972972972973,29.72972972972973,48.64864864864865,51.35135135135135,67.56756756756756,89.1891891891892,100.0,72.97297297297297,75.67567567567568,81.08108108108108,27.027027027027028,32.432432432432435,29.72972972972973,32.432432432432435,18.91891891891892,18.91891891891892,27.027027027027028,27.027027027027028,37.83783783783784,27.027027027027028,24.324324324324326,27.027027027027028,35.13513513513514,32.432432432432435,21.62162162162162,18.91891891891892,27.027027027027028,24.324324324324326,24.324324324324326,24.324324324324326,24.324324324324326,29.72972972972973,32.432432432432435,27.027027027027028,27.027027027027028,27.027027027027028,27.027027027027028
