,7su0_ID_1,5xj3_ID_1,7su0_ID_2,6rp8_ID_1,6rp8_ID_2,5tru_ID_1,5xj3_ID_2,5ggv,5xj3_ID_3,9dq4,5tru_ID_2,5xj3_ID_4,7su1,9dq3,8tui,6xkr,7cgw_ID_1,7wvm_ID_1,7wvm_ID_2,5ggs_ID_1,5jxe_ID_1,7bxa_ID_1,7bxa_ID_2,7cu5_ID_1,7cgw_ID_2,5b8c_ID_1,8gy5_ID_1,5b8c_ID_2,7cu5_ID_2,5jxe_ID_2,5b8c_ID_3,8gy5_ID_2,6k0y,7wsl,5wt9,5ggr_ID_1,5ggs_ID_2,5x8l_ID_1,5x8m,5x8l_ID_2,5grj,5x8l_ID_3,5xj4,5x8l_ID_5,5xxy,6txz_ID_1,6txz_ID_2,6txz_ID_3,6txz_ID_4
7su0_ID_1,100.0,30.0,60.0,40.0,40.0,50.0,30.0,40.0,40.0,28.57,60.0,30.0,50.0,70.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,27.27,20.0,10.0,10.0,27.27,10.0,21.43,10.0,10.0,18.18,10.0,30.0,30.0,20.0,20.0,10.0,35.71,30.0,30.0,30.0,27.27,20.0,27.27,15.79,20.0,20.0,20.0,10.0
5xj3_ID_1,30.0,100.0,33.33,33.33,33.33,33.33,55.56,20.0,44.44,21.43,22.22,44.44,33.33,33.33,11.11,22.22,22.22,22.22,22.22,30.0,33.33,18.18,11.11,11.11,22.22,27.27,11.11,21.43,33.33,11.11,36.36,22.22,33.33,22.22,33.33,22.22,30.0,14.29,33.33,33.33,22.22,36.36,22.22,18.18,21.05,22.22,33.33,11.11,22.22
7su0_ID_2,60.0,33.33,100.0,71.43,57.14,57.14,42.86,40.0,37.5,21.43,85.71,42.86,71.43,62.5,12.5,28.57,14.29,28.57,25.0,20.0,12.5,27.27,25.0,14.29,12.5,18.18,14.29,21.43,14.29,14.29,18.18,14.29,28.57,14.29,14.29,14.29,10.0,14.29,14.29,22.22,42.86,18.18,14.29,9.09,21.05,28.57,22.22,28.57,14.29
6rp8_ID_1,40.0,33.33,71.43,100.0,42.86,42.86,50.0,30.0,37.5,21.43,57.14,50.0,66.67,50.0,0.0,14.29,0.0,16.67,12.5,10.0,0.0,9.09,12.5,20.0,0.0,9.09,16.67,21.43,20.0,0.0,9.09,16.67,16.67,14.29,14.29,0.0,10.0,14.29,16.67,22.22,42.86,18.18,20.0,9.09,21.05,16.67,22.22,14.29,14.29
6rp8_ID_2,40.0,33.33,57.14,42.86,100.0,85.71,57.14,50.0,50.0,28.57,57.14,42.86,57.14,50.0,12.5,28.57,14.29,14.29,25.0,20.0,12.5,18.18,25.0,14.29,12.5,18.18,14.29,14.29,28.57,14.29,18.18,14.29,14.29,28.57,14.29,14.29,10.0,14.29,14.29,22.22,42.86,18.18,14.29,18.18,21.05,14.29,22.22,14.29,14.29
5tru_ID_1,50.0,33.33,57.14,42.86,85.71,100.0,57.14,50.0,37.5,28.57,57.14,42.86,57.14,62.5,25.0,28.57,14.29,14.29,25.0,20.0,12.5,18.18,25.0,14.29,12.5,27.27,14.29,14.29,28.57,14.29,18.18,14.29,28.57,14.29,28.57,28.57,10.0,14.29,28.57,33.33,42.86,18.18,14.29,18.18,15.79,14.29,22.22,14.29,14.29
5xj3_ID_2,30.0,55.56,42.86,50.0,57.14,57.14,100.0,30.0,62.5,28.57,42.86,50.0,50.0,50.0,25.0,28.57,14.29,16.67,25.0,20.0,12.5,18.18,25.0,16.67,12.5,18.18,16.67,14.29,33.33,16.67,18.18,16.67,33.33,28.57,28.57,28.57,10.0,14.29,33.33,22.22,28.57,27.27,33.33,18.18,15.79,16.67,22.22,14.29,14.29
5ggv,40.0,20.0,40.0,30.0,50.0,50.0,30.0,100.0,40.0,35.71,40.0,20.0,50.0,40.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,18.18,20.0,10.0,10.0,27.27,10.0,14.29,10.0,10.0,9.09,10.0,10.0,10.0,10.0,20.0,20.0,14.29,10.0,20.0,20.0,9.09,0.0,9.09,15.79,10.0,10.0,10.0,0.0
5xj3_ID_3,40.0,44.44,37.5,37.5,50.0,37.5,62.5,40.0,100.0,28.57,25.0,37.5,25.0,50.0,25.0,25.0,12.5,12.5,25.0,20.0,12.5,18.18,25.0,12.5,12.5,27.27,12.5,14.29,25.0,12.5,18.18,12.5,25.0,37.5,25.0,25.0,20.0,14.29,25.0,22.22,25.0,27.27,25.0,18.18,21.05,12.5,22.22,12.5,12.5
9dq4,28.57,21.43,21.43,21.43,28.57,28.57,28.57,35.71,28.57,100.0,14.29,28.57,21.43,28.57,14.29,14.29,14.29,7.14,28.57,14.29,7.14,21.43,7.14,14.29,21.43,21.43,14.29,28.57,14.29,7.14,21.43,21.43,21.43,28.57,14.29,14.29,14.29,21.43,21.43,14.29,21.43,35.71,14.29,21.43,31.58,14.29,14.29,21.43,14.29
