structure_id,cluster
5ggv,6
6rp8_ID_1,3
6rp8_ID_2,3
5tru_ID_1,3
5xj3_ID_1,3
5xj3_ID_2,3
5xj3_ID_3,3
5xj3_ID_4,3
5tru_ID_2,3
9dq3,3
9dq4,3
7su0_ID_1,3
7su0_ID_2,3
7su1,3
8tui,3
7cgw_ID_1,6
7wsl,3
5ggs_ID_1,5
5ggs_ID_2,5
5jxe_ID_1,5
5b8c_ID_1,5
5b8c_ID_2,5
5jxe_ID_2,5
5b8c_ID_3,5
5b8c_ID_4,5
5ggr_ID_1,4
8gy5_ID_1,3
7wvm_ID_1,3
7cgw_ID_2,6
7cu5_ID_1,1
7cu5_ID_2,1
7bxa_ID_1,6
7bxa_ID_2,6
6xkr,6
7wvm_ID_2,3
5ggr_ID_2,4
5wt9,4
6k0y,6
8gy5_ID_2,3
5x8m,3
5xj4,3
5xxy,2
5x8l_ID_1,2
5x8l_ID_2,2
5x8l_ID_3,2
5x8l_ID_4,2
5grj,3
5x8l_ID_5,2
6txz_ID_1,2
6txz_ID_2,2
6txz_ID_3,2
6txz_ID_4,2
