,5tru_ID_1,5xj3_ID_1,6rp8_ID_1,7su0_ID_1,5xj3_ID_2,5ggv,5xj3_ID_3,9dq4,5tru_ID_2,5xj3_ID_4,7su0_ID_2,9dq3,7su1,6rp8_ID_2,8tui,7bxa_ID_1,5ggs_ID_1,5ggs_ID_2,8gy5_ID_1,8gy5_ID_2,5b8c_ID_1,7wvm_ID_1,5b8c_ID_2,6xkr,5ggr_ID_1,5ggr_ID_2,7cgw_ID_1,7bxa_ID_2,7cgw_ID_2,5jxe_ID_1,5wt9,5jxe_ID_2,5b8c_ID_3,5b8c_ID_4,7wvm_ID_2,7wsl,7cu5_ID_1,7cu5_ID_2,6k0y,5grj,5x8l_ID_1,5x8l_ID_2,5x8l_ID_3,5x8l_ID_4,5x8m,5xj4,5x8l_ID_5,5xxy,6txz_ID_1,6txz_ID_2,6txz_ID_3,6txz_ID_4
5tru_ID_1,100.0,85.71,57.14,71.43,66.67,50.0,75.0,35.71,71.43,57.14,70.0,75.0,57.14,85.71,25.0,27.27,20.0,20.0,14.29,14.29,18.18,14.29,21.43,28.57,25.0,28.57,14.29,25.0,12.5,12.5,28.57,14.29,30.0,18.18,12.5,14.29,14.29,28.57,28.57,28.57,16.67,27.27,21.43,18.18,28.57,14.29,22.22,15.79,22.22,14.29,14.29,14.29
5xj3_ID_1,85.71,100.0,66.67,57.14,66.67,40.0,75.0,35.71,57.14,66.67,60.0,75.0,66.67,71.43,25.0,18.18,20.0,20.0,16.67,16.67,18.18,16.67,21.43,28.57,25.0,28.57,14.29,25.0,12.5,12.5,28.57,16.67,20.0,18.18,12.5,14.29,16.67,33.33,33.33,28.57,16.67,27.27,21.43,18.18,33.33,16.67,22.22,15.79,22.22,16.67,14.29,14.29
6rp8_ID_1,57.14,66.67,100.0,71.43,44.44,40.0,50.0,21.43,57.14,50.0,40.0,50.0,66.67,57.14,0.0,9.09,10.0,10.0,16.67,16.67,18.18,16.67,21.43,14.29,0.0,0.0,0.0,12.5,0.0,0.0,14.29,0.0,10.0,9.09,12.5,14.29,20.0,40.0,16.67,28.57,16.67,27.27,21.43,18.18,16.67,20.0,22.22,21.05,22.22,16.67,14.29,14.29
7su0_ID_1,71.43,57.14,71.43,100.0,44.44,60.0,62.5,28.57,85.71,42.86,60.0,62.5,71.43,85.71,12.5,27.27,20.0,20.0,14.29,14.29,27.27,28.57,21.43,28.57,12.5,14.29,14.29,25.0,12.5,12.5,14.29,14.29,30.0,18.18,25.0,14.29,14.29,28.57,28.57,28.57,16.67,27.27,21.43,18.18,14.29,14.29,33.33,26.32,22.22,14.29,14.29,14.29
5xj3_ID_2,66.67,66.67,44.44,44.44,100.0,60.0,77.78,42.86,44.44,55.56,60.0,66.67,55.56,55.56,22.22,27.27,20.0,30.0,22.22,22.22,27.27,11.11,28.57,22.22,22.22,22.22,33.33,22.22,33.33,33.33,22.22,11.11,30.0,27.27,22.22,22.22,22.22,22.22,22.22,22.22,16.67,27.27,21.43,18.18,22.22,11.11,33.33,21.05,22.22,22.22,22.22,11.11
5ggv,50.0,40.0,40.0,60.0,60.0,100.0,50.0,35.71,50.0,20.0,60.0,40.0,50.0,50.0,10.0,36.36,20.0,20.0,10.0,10.0,27.27,10.0,21.43,30.0,10.0,10.0,20.0,30.0,30.0,20.0,10.0,10.0,40.0,36.36,10.0,10.0,10.0,10.0,10.0,10.0,16.67,18.18,21.43,9.09,10.0,0.0,30.0,21.05,20.0,20.0,0.0,20.0
5xj3_ID_3,75.0,75.0,50.0,62.5,77.78,50.0,100.0,42.86,62.5,62.5,70.0,87.5,62.5,75.0,25.0,18.18,20.0,30.0,12.5,12.5,27.27,25.0,21.43,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,12.5,20.0,27.27,25.0,25.0,12.5,25.0,37.5,37.5,25.0,36.36,21.43,27.27,25.0,25.0,33.33,21.05,22.22,12.5,12.5,12.5
9dq4,35.71,35.71,21.43,28.57,42.86,35.71,42.86,100.0,28.57,35.71,42.86,50.0,35.71,35.71,14.29,14.29,7.14,14.29,14.29,14.29,21.43,14.29,21.43,21.43,14.29,14.29,14.29,14.29,21.43,14.29,14.29,7.14,14.29,21.43,21.43,14.29,14.29,14.29,21.43,21.43,28.57,28.57,28.57,21.43,14.29,14.29,28.57,31.58,28.57,14.29,14.29,21.43
5tru_ID_2,71.43,57.14,57.14,85.71,44.44,50.0,62.5,28.57,100.0,42.86,60.0,62.5,71.43,85.71,12.5,27.27,20.0,20.0,14.29,14.29,27.27,28.57,21.43,28.57,12.5,14.29,14.29,25.0,12.5,12.5,14.29,14.29,30.0,18.18,25.0,14.29,14.29,28.57,28.57,28.57,16.67,27.27,21.43,18.18,14.29,14.29,33.33,21.05,22.22,14.29,14.29,14.29
5xj3_ID_4,57.14,66.67,50.0,42.86,55.56,20.0,62.5,35.71,42.86,100.0,50.0,62.5,50.0,57.14,12.5,9.09,0.0,10.0,33.33,16.67,9.09,16.67,21.43,0.0,12.5,14.29,14.29,0.0,12.5,12.5,14.29,0.0,0.0,9.09,37.5,28.57,16.67,16.67,33.33,42.86,25.0,36.36,21.43,27.27,33.33,33.33,33.33,21.05,22.22,33.33,28.57,14.29
7su0_ID_2,70.0,60.0,40.0,60.0,60.0,60.0,70.0,42.86,60.0,50.0,100.0,70.0,50.0,70.0,20.0,36.36,20.0,20.0,10.0,10.0,27.27,20.0,21.43,30.0,20.0,20.0,10.0,30.0,20.0,10.0,20.0,10.0,30.0,27.27,20.0,20.0,10.0,20.0,30.0,30.0,25.0,36.36,21.43,27.27,20.0,20.0,30.0,21.05,20.0,10.0,10.0,10.0
9dq3,75.0,75.0,50.0,62.5,66.67,40.0,87.5,50.0,62.5,62.5,70.0,100.0,62.5,75.0,25.0,18.18,20.0,20.0,12.5,12.5,27.27,25.0,21.43,25.0,25.0,25.0,12.5,25.0,12.5,12.5,25.0,12.5,20.0,18.18,37.5,25.0,12.5,25.0,37.5,37.5,25.0,36.36,21.43,27.27,25.0,25.0,33.33,26.32,22.22,12.5,12.5,12.5
7su1,57.14,66.67,66.67,71.43,55.56,50.0,62.5,35.71,71.43,50.0,50.0,62.5,100.0,71.43,12.5,18.18,20.0,20.0,33.33,33.33,36.36,33.33,28.57,28.57,12.5,14.29,28.57,25.0,25.0,25.0,14.29,16.67,30.0,27.27,25.0,28.57,33.33,33.33,33.33,28.57,16.67,27.27,21.43,18.18,16.67,16.67,33.33,21.05,22.22,16.67,14.29,14.29
