pdb_id,H_chain,L_chain,antigen_chain,paratope_area,buried_paratope_area,num_filtered_hbonds,num_salt_bridges,folder
5wt9,H,L,G,1760.497802734375,910.3566284179688,20,0,pd1
6rp8,H,L,C,1255.4581298828125,724.6325073242188,16,0,ctla4
6txz,K,O,D,1725.0924072265625,873.9346313476562,15,0,tim3
5grj,H,L,A,1456.6773681640625,1085.971923828125,35,2,pdl1
5xxy,H,L,A,2043.0120849609375,2015.2650146484375,181,0,pdl1
7su0,I,M,D,1403.515625,1341.201171875,15,0,ctla4
7bxa,B,C,A,1285.269775390625,758.5508422851562,21,0,pd1
5jxe,G,F,A,1549.5435791015625,1112.59814453125,18,0,pd1
7wsl,H,L,D,2171.249755859375,794.8929443359375,13,0,pd1
5x8l,S,N,D,1629.1248779296875,965.5888671875,17,0,pdl1
5x8l,J,O,E,1665.3475341796875,1038.9022216796875,24,0,pdl1
5b8c,K,J,L,1955.8642578125,1346.9541015625,22,0,pd1
9dq4,H,L,A,1897.172119140625,1628.711181640625,192,3,ctla4
5xj3,A,B,C,1201.1490478515625,671.6341552734375,12,0,ctla4
6txz,H,L,A,1693.3453369140625,791.2568359375,12,0,tim3
5x8m,B,C,A,1323.9627685546875,813.447998046875,12,1,pdl1
7cu5,B,B,E,777.6929321289062,650.1746826171875,7,0,pd1
5tru,H,L,C,1222.35986328125,960.514892578125,18,0,ctla4
7cgw,A,B,C,1654.599853515625,1160.0316162109375,22,0,pd1
7su0,H,L,C,1257.5020751953125,860.3029174804688,12,0,ctla4
7su1,H,L,C,1082.109375,625.7113037109375,12,2,ctla4
5xj3,D,E,F,1238.6474609375,754.8224487304688,17,0,ctla4
7cu5,A,A,Q,845.3272094726562,579.016357421875,2,0,pd1
5ggv,H,L,Y,1888.3369140625,1096.9686279296875,27,0,ctla4
5b8c,B,A,C,2151.804443359375,1530.440673828125,27,0,pd1
5tru,h,l,c,1292.964599609375,799.474365234375,12,0,ctla4
5b8c,H,G,I,2049.619140625,1212.3687744140625,18,0,pd1
5x8l,H,M,C,1714.0770263671875,1451.3128662109375,26,0,pdl1
6txz,I,M,B,1610.267578125,699.0109252929688,14,0,tim3
5ggr,A,B,Y,1252.1759033203125,814.4287719726562,26,0,pd1
5ggs,A,B,Z,2308.71923828125,1511.7320556640625,24,0,pd1
5ggs,C,D,Y,2143.81787109375,1380.6917724609375,19,1,pd1
5x8l,F,K,A,1729.5960693359375,1111.9041748046875,17,0,pdl1
6rp8,h,l,c,1245.991455078125,966.5534057617188,13,0,ctla4
7cgw,H,L,P,1605.0234375,824.9442138671875,21,2,pd1
8tui,H,L,A,1484.9478759765625,1012.8372802734375,18,0,kir
5xj4,H,L,A,1421.128173828125,623.18359375,13,0,pdl1
7bxa,H,L,P,1300.9512939453125,1041.0872802734375,16,0,pd1
5xj3,J,K,L,1218.8546142578125,768.2896728515625,13,0,ctla4
7wvm,C,D,F,1357.87451171875,1063.0540771484375,12,0,pd1
5x8l,G,L,B,1517.1573486328125,1134.6636962890625,24,0,pdl1
8gy5,A,B,Q,1424.736572265625,782.6976318359375,8,0,pd1
5jxe,D,C,B,1563.66552734375,420.5532531738281,8,0,pd1
5b8c,E,D,F,1984.7117919921875,1399.1629638671875,20,0,pd1
6k0y,A,B,C,1517.019287109375,787.4491577148438,15,2,pd1
5xj3,G,H,I,1059.5927734375,622.4866943359375,8,0,ctla4
9dq3,H,L,C,1542.55908203125,1075.8072509765625,15,2,ctla4
8gy5,H,L,P,1495.2757568359375,670.397705078125,11,1,pd1
6xkr,H,L,P,1791.77587890625,799.4140625,11,0,pd1
6txz,J,N,C,1655.3580322265625,716.5263061523438,14,0,tim3
5ggr,H,L,Z,1511.315185546875,1235.47412109375,28,0,pd1
7wvm,A,B,E,1319.529052734375,878.6505126953125,10,0,pd1
